"Perioden","Bouwvergunningen woonruimten/Woningen (aantal)","Bouwvergunningen woonruimten/Wooneenheden (aantal)","Bouwvergunningen woonruimten/Recreatiewoningen (aantal)","Index woningen 2012=100 (2012=100)"
"2021 februari","    5756","       0","     120","   175.5"
"2021 maart*","    8466","       0","     291","   258.1"
"2021 april*","    8054","       0","      55","   245.6"
"2021 mei*","    5596","       0","     499","   170.6"
"2021 juni*","    7106","       0","      43","   216.7"
"2021 juli*","    6145","       0","     167","   187.4"
"2021 augustus*","    3914","       0","     131","   119.3"
"2021 september*","    5021","       0","      50","   153.1"
"2021 oktober*","    6359","       0","     130","   193.9"
"2021 november*","    7109","       0","     293","   216.8"
"2021 december*","    6809","       0","      70","   207.6"
"2022 januari*","    4197","       0","      97","   128.0"
"2022 februari*","    4217","       0","      64","   128.6"
