Version,Date_of_report,Date_of_statistics,Perc_covid_symptoms,MA_perc_covid_symptoms
1,2022-04-26 10:00:00,2020-11-01,2.78184480234261,
1,2022-04-26 10:00:00,2020-11-02,2.30414746543779,
1,2022-04-26 10:00:00,2020-11-03,3.32963374028857,
1,2022-04-26 10:00:00,2020-11-04,3.64077669902913,3.106
1,2022-04-26 10:00:00,2020-11-05,3.61596009975062,3.116
1,2022-04-26 10:00:00,2020-11-06,3.43642611683849,3.191
1,2022-04-26 10:00:00,2020-11-07,2.63388937664618,3.165
1,2022-04-26 10:00:00,2020-11-08,2.84834488067744,2.986
1,2022-04-26 10:00:00,2020-11-09,2.83505154639175,2.793
1,2022-04-26 10:00:00,2020-11-10,3.14620604565083,2.696
1,2022-04-26 10:00:00,2020-11-11,2.38543628374137,2.755
1,2022-04-26 10:00:00,2020-11-12,2.26218097447796,2.837
1,2022-04-26 10:00:00,2020-11-13,2.76052449965493,2.82
1,2022-04-26 10:00:00,2020-11-14,3.0440414507772,2.782
1,2022-04-26 10:00:00,2020-11-15,3.42298288508557,2.751
1,2022-04-26 10:00:00,2020-11-16,2.71531607976241,2.793
1,2022-04-26 10:00:00,2020-11-17,2.88153681963714,2.859
1,2022-04-26 10:00:00,2020-11-18,2.17273221075502,2.787
1,2022-04-26 10:00:00,2020-11-19,2.5541365907829,2.655
1,2022-04-26 10:00:00,2020-11-20,3.22384428223844,2.667
1,2022-04-26 10:00:00,2020-11-21,2.54137115839243,2.689
1,2022-04-26 10:00:00,2020-11-22,2.49858035207269,2.75
1,2022-04-26 10:00:00,2020-11-23,2.79652844744455,2.755
1,2022-04-26 10:00:00,2020-11-24,3.03699613473219,2.727
1,2022-04-26 10:00:00,2020-11-25,2.60180995475113,2.725
1,2022-04-26 10:00:00,2020-11-26,2.58668134287287,2.835
1,2022-04-26 10:00:00,2020-11-27,3.02843016069221,2.81
1,2022-04-26 10:00:00,2020-11-28,2.52555622369212,2.79
1,2022-04-26 10:00:00,2020-11-29,3.26797385620915,2.746
1,2022-04-26 10:00:00,2020-11-30,2.62529832935561,2.788
1,2022-04-26 10:00:00,2020-12-01,2.89234065345474,2.791
1,2022-04-26 10:00:00,2020-12-02,2.29508196721311,2.918
1,2022-04-26 10:00:00,2020-12-03,2.88461538461538,2.932
1,2022-04-26 10:00:00,2020-12-04,3.04628002343292,3.031
1,2022-04-26 10:00:00,2020-12-05,3.41113105924596,3.115
1,2022-04-26 10:00:00,2020-12-06,3.36817653890825,3.23
1,2022-04-26 10:00:00,2020-12-07,3.31775700934579,3.319
1,2022-04-26 10:00:00,2020-12-08,3.48015225666123,3.267
1,2022-04-26 10:00:00,2020-12-09,3.10421286031042,3.221
1,2022-04-26 10:00:00,2020-12-10,3.50684931506849,3.243
1,2022-04-26 10:00:00,2020-12-11,2.68378063010502,3.198
1,2022-04-26 10:00:00,2020-12-12,3.08747855917667,3.108
1,2022-04-26 10:00:00,2020-12-13,3.52397458116696,3.212
1,2022-04-26 10:00:00,2020-12-14,2.99644489588624,3.169
1,2022-04-26 10:00:00,2020-12-15,2.85145888594164,3.169
1,2022-04-26 10:00:00,2020-12-16,3.83182543906333,3.094
1,2022-04-26 10:00:00,2020-12-17,3.20916905444126,3.056
1,2022-04-26 10:00:00,2020-12-18,2.68264840182648,3.151
1,2022-04-26 10:00:00,2020-12-19,2.56104824300179,3.178
1,2022-04-26 10:00:00,2020-12-20,3.2590051457976,3.061
1,2022-04-26 10:00:00,2020-12-21,3.66317792578497,2.876
1,2022-04-26 10:00:00,2020-12-22,3.04203539823009,2.889
1,2022-04-26 10:00:00,2020-12-23,3.00751879699248,2.945
1,2022-04-26 10:00:00,2020-12-24,1.91972076788831,2.862
1,2022-04-26 10:00:00,2020-12-25,2.76792051100071,2.666
1,2022-04-26 10:00:00,2020-12-26,2.95790671217292,2.628
1,2022-04-26 10:00:00,2020-12-27,2.67613326051338,2.58
1,2022-04-26 10:00:00,2020-12-28,2.28758169934641,2.571
1,2022-04-26 10:00:00,2020-12-29,2.77629471436199,2.485
1,2022-04-26 10:00:00,2020-12-30,2.67613326051338,2.379
1,2022-04-26 10:00:00,2020-12-31,1.85185185185185,2.378
1,2022-04-26 10:00:00,2021-01-01,2.17238962859145,2.371
1,2022-04-26 10:00:00,2021-01-02,2.21421215242019,2.334
1,2022-04-26 10:00:00,2021-01-03,2.67045454545455,2.241
1,2022-04-26 10:00:00,2021-01-04,2.23776223776224,2.258
1,2022-04-26 10:00:00,2021-01-05,2.51740760578468,2.266
1,2022-04-26 10:00:00,2021-01-06,2.02597402597403,2.192
1,2022-04-26 10:00:00,2021-01-07,1.96850393700787,2.059
1,2022-04-26 10:00:00,2021-01-08,2.23089793641941,2.009
1,2022-04-26 10:00:00,2021-01-09,1.69491525423729,1.86
1,2022-04-26 10:00:00,2021-01-10,1.73711638679792,2.032
1,2022-04-26 10:00:00,2021-01-11,1.88505747126437,2.086
1,2022-04-26 10:00:00,2021-01-12,1.47841513897102,2.06
1,2022-04-26 10:00:00,2021-01-13,3.2258064516129,2.143
1,2022-04-26 10:00:00,2021-01-14,2.34644582470669,2.119
1,2022-04-26 10:00:00,2021-01-15,2.05557670346403,2.034
1,2022-04-26 10:00:00,2021-01-16,2.27272727272727,2.044
1,2022-04-26 10:00:00,2021-01-17,1.56687185226637,1.771
1,2022-04-26 10:00:00,2021-01-18,1.292546316243,1.666
1,2022-04-26 10:00:00,2021-01-19,1.54798761609907,1.621
1,2022-04-26 10:00:00,2021-01-20,1.3134328358209,1.528
1,2022-04-26 10:00:00,2021-01-21,1.61542470036477,1.523
1,2022-04-26 10:00:00,2021-01-22,1.73592845870594,1.538
1,2022-04-26 10:00:00,2021-01-23,1.62425554953979,1.548
1,2022-04-26 10:00:00,2021-01-24,1.52921900600765,1.529
1,2022-04-26 10:00:00,2021-01-25,1.39702568724651,1.503
1,2022-04-26 10:00:00,2021-01-26,1.62388685175485,1.491
1,2022-04-26 10:00:00,2021-01-27,1.17647058823529,1.538
1,2022-04-26 10:00:00,2021-01-28,1.43589743589744,1.52
1,2022-04-26 10:00:00,2021-01-29,1.64835164835165,1.605
1,2022-04-26 10:00:00,2021-01-30,1.95758564437194,1.532
1,2022-04-26 10:00:00,2021-01-31,1.40291806958474,1.62
1,2022-04-26 10:00:00,2021-02-01,1.98825124265703,1.548
1,2022-04-26 10:00:00,2021-02-02,1.11167256189995,1.591
1,2022-04-26 10:00:00,2021-02-03,1.79704016913319,1.537
1,2022-04-26 10:00:00,2021-02-04,0.927835051546392,1.622
1,2022-04-26 10:00:00,2021-02-05,1.94986072423398,1.518
1,2022-04-26 10:00:00,2021-02-06,1.58124318429662,1.513
1,2022-04-26 10:00:00,2021-02-07,1.99657729606389,1.469
1,2022-04-26 10:00:00,2021-02-08,1.26296797474064,1.537
1,2022-04-26 10:00:00,2021-02-09,1.07692307692308,1.516
1,2022-04-26 10:00:00,2021-02-10,1.49094781682641,1.499
1,2022-04-26 10:00:00,2021-02-11,1.40374331550802,1.428
1,2022-04-26 10:00:00,2021-02-12,1.79910044977511,1.456
1,2022-04-26 10:00:00,2021-02-13,1.45942790426153,1.578
1,2022-04-26 10:00:00,2021-02-14,1.50375939849624,1.547
1,2022-04-26 10:00:00,2021-02-15,1.45888594164456,1.62
1,2022-04-26 10:00:00,2021-02-16,1.93089430894309,1.702
1,2022-04-26 10:00:00,2021-02-17,1.27388535031847,1.775
1,2022-04-26 10:00:00,2021-02-18,1.91285866099894,1.798
1,2022-04-26 10:00:00,2021-02-19,2.37422272470322,1.898
1,2022-04-26 10:00:00,2021-02-20,1.97072072072072,1.913
1,2022-04-26 10:00:00,2021-02-21,1.66481687014428,1.988
1,2022-04-26 10:00:00,2021-02-22,2.15695273061037,2.02
1,2022-04-26 10:00:00,2021-02-23,2.03868269733403,2.117
1,2022-04-26 10:00:00,2021-02-24,1.7983651226158,2.15
1,2022-04-26 10:00:00,2021-02-25,2.13745478461033,2.187
1,2022-04-26 10:00:00,2021-02-26,3.05302624531334,2.113
1,2022-04-26 10:00:00,2021-02-27,2.20417633410673,2.164
1,2022-04-26 10:00:00,2021-02-28,1.92016169782719,2.234
1,2022-04-26 10:00:00,2021-03-01,1.6365202411714,2.171
1,2022-04-26 10:00:00,2021-03-02,2.4,2.03
1,2022-04-26 10:00:00,2021-03-03,2.28608752449379,2.079
1,2022-04-26 10:00:00,2021-03-04,1.69587337478802,2.111
1,2022-04-26 10:00:00,2021-03-05,2.06588498045784,2.186
1,2022-04-26 10:00:00,2021-03-06,2.54588513913558,2.187
1,2022-04-26 10:00:00,2021-03-07,2.14723926380368,2.127
1,2022-04-26 10:00:00,2021-03-08,2.16356555603635,2.101
1,2022-04-26 10:00:00,2021-03-09,2.40460010454783,2.143
1,2022-04-26 10:00:00,2021-03-10,1.86774356385664,2.119
1,2022-04-26 10:00:00,2021-03-11,1.51074956420686,2.189
1,2022-04-26 10:00:00,2021-03-12,2.36087689713322,2.252
1,2022-04-26 10:00:00,2021-03-13,2.3768115942029,2.209
1,2022-04-26 10:00:00,2021-03-14,2.63959390862944,2.263
1,2022-04-26 10:00:00,2021-03-15,2.60206370569762,2.433
1,2022-04-26 10:00:00,2021-03-16,2.10810810810811,2.441
1,2022-04-26 10:00:00,2021-03-17,2.24119530416222,2.51
1,2022-04-26 10:00:00,2021-03-18,2.70419426048565,2.488
1,2022-04-26 10:00:00,2021-03-19,2.41301907968575,2.424
1,2022-04-26 10:00:00,2021-03-20,2.86054827175209,2.391
1,2022-04-26 10:00:00,2021-03-21,2.48508946322068,2.382
1,2022-04-26 10:00:00,2021-03-22,2.15827338129496,2.357
1,2022-04-26 10:00:00,2021-03-23,1.87224669603524,2.448
1,2022-04-26 10:00:00,2021-03-24,2.18102508178844,2.457
1,2022-04-26 10:00:00,2021-03-25,2.52824098977945,2.444
1,2022-04-26 10:00:00,2021-03-26,3.05343511450382,2.467
1,2022-04-26 10:00:00,2021-03-27,2.91840381179273,2.619
1,2022-04-26 10:00:00,2021-03-28,2.39485981308411,2.766
1,2022-04-26 10:00:00,2021-03-29,2.32227488151659,2.759
1,2022-04-26 10:00:00,2021-03-30,2.93803418803419,2.778
1,2022-04-26 10:00:00,2021-03-31,3.20733104238259,2.766
1,2022-04-26 10:00:00,2021-04-01,2.47524752475248,2.717
1,2022-04-26 10:00:00,2021-04-02,3.18840579710145,2.688
1,2022-04-26 10:00:00,2021-04-03,2.83353010625738,2.601
1,2022-04-26 10:00:00,2021-04-04,2.05245153933865,2.416
1,2022-04-26 10:00:00,2021-04-05,2.12031558185404,2.427
1,2022-04-26 10:00:00,2021-04-06,2.32991612301957,2.242
1,2022-04-26 10:00:00,2021-04-07,1.91204588910134,2.235
1,2022-04-26 10:00:00,2021-04-08,2.55511022044088,2.249
1,2022-04-26 10:00:00,2021-04-09,1.89111747851003,2.296
