 symboling;normalized-losses;make;fuel-type;aspiration;num-of-doors;body-style;drive-wheels;engine-location;wheel-base;length;width;height;curb-weight;engine-type;num-of-cylinders
3;122;alfa-romero;gas;std;two;convertible;rwd;front;886;1688;641;488;2548;dohc;four
3;122;alfa-romero;gas;std;two;convertible;rwd;front;886;1688;641;488;2548;dohc;four
1;122;alfa-romero;gas;std;two;hatchback;rwd;front;945;1712;655;524;2823;ohcv;six
2;164;audi;gas;std;four;sedan;fwd;front;998;1766;662;543;2337;ohc;four
2;164;audi;gas;std;four;sedan;4wd;front;994;1766;664;543;2824;ohc;five
2;122;audi;gas;std;two;sedan;fwd;front;998;1773;663;531;2507;ohc;five
1;158;audi;gas;std;four;sedan;fwd;front;1058;1927;714;557;2844;ohc;five
1;122;audi;gas;std;four;wagon;fwd;front;1058;1927;714;557;2954;ohc;five
1;158;audi;gas;turbo;four;sedan;fwd;front;1058;1927;714;559;3086;ohc;five
2;192;bmw;gas;std;two;sedan;rwd;front;1012;1768;648;543;2395;ohc;four
0;192;bmw;gas;std;four;sedan;rwd;front;1012;1768;648;543;2395;ohc;four
0;188;bmw;gas;std;two;sedan;rwd;front;1012;1768;648;543;2710;ohc;six
0;188;bmw;gas;std;four;sedan;rwd;front;1012;1768;648;543;2765;ohc;six
1;122;bmw;gas;std;four;sedan;rwd;front;1035;1890;669;557;3055;ohc;six
0;122;bmw;gas;std;four;sedan;rwd;front;1035;1890;669;557;3230;ohc;six
0;122;bmw;gas;std;two;sedan;rwd;front;1035;1938;679;537;3380;ohc;six
0;122;bmw;gas;std;four;sedan;rwd;front;1100;1970;709;563;3505;ohc;six
2;121;chevrolet;gas;std;two;hatchback;fwd;front;884;1411;603;532;1488;l;three
1;98;chevrolet;gas;std;two;hatchback;fwd;front;945;1559;636;520;1874;ohc;four
0;81;chevrolet;gas;std;four;sedan;fwd;front;945;1588;636;520;1909;ohc;four
1;118;dodge;gas;std;two;hatchback;fwd;front;937;1573;638;508;1876;ohc;four
1;118;dodge;gas;std;two;hatchback;fwd;front;937;1573;638;508;1876;ohc;four
1;118;dodge;gas;turbo;two;hatchback;fwd;front;937;1573;638;508;2128;ohc;four
1;148;dodge;gas;std;four;hatchback;fwd;front;937;1573;638;506;1967;ohc;four
1;148;dodge;gas;std;four;sedan;fwd;front;937;1573;638;506;1989;ohc;four
1;148;dodge;gas;std;four;sedan;fwd;front;937;1573;638;506;1989;ohc;four
1;148;dodge;gas;turbo;four;sedan;fwd;front;937;1573;638;506;2191;ohc;four
-1;110;dodge;gas;std;four;wagon;fwd;front;1033;1746;646;598;2535;ohc;four
3;145;dodge;gas;turbo;two;hatchback;fwd;front;959;1732;663;502;2811;ohc;four
2;137;honda;gas;std;two;hatchback;fwd;front;866;1446;639;508;1713;ohc;four
2;137;honda;gas;std;two;hatchback;fwd;front;866;1446;639;508;1819;ohc;four
1;101;honda;gas;std;two;hatchback;fwd;front;937;1500;640;526;1837;ohc;four
1;101;honda;gas;std;two;hatchback;fwd;front;937;1500;640;526;1940;ohc;four
1;101;honda;gas;std;two;hatchback;fwd;front;937;1500;640;526;1956;ohc;four
0;110;honda;gas;std;four;sedan;fwd;front;965;1634;640;545;2010;ohc;four
0;78;honda;gas;std;four;wagon;fwd;front;965;1571;639;583;2024;ohc;four
0;106;honda;gas;std;two;hatchback;fwd;front;965;1675;652;533;2236;ohc;four
0;106;honda;gas;std;two;hatchback;fwd;front;965;1675;652;533;2289;ohc;four
0;85;honda;gas;std;four;sedan;fwd;front;965;1754;652;541;2304;ohc;four
0;85;honda;gas;std;four;sedan;fwd;front;965;1754;625;541;2372;ohc;four
0;85;honda;gas;std;four;sedan;fwd;front;965;1754;652;541;2465;ohc;four
1;107;honda;gas;std;two;sedan;fwd;front;965;1691;660;510;2293;ohc;four
