"Perioden","2015=100","%","%","aantal","%","%","euro","mln euro"
"1995","42,5","","","154568","","","93750","14491"
"2000","80,3","18,2","18,2","189358","-7,4","-7,4","172050","32579"
"2005","106,6","3,9","3,9","206629","7,7","7,7","222706","46017"
"2010","113,0","-2,2","-2,2","126127","-1,1","-1,1","239530","30211"
"2015","100,0","2,8","2,8","178293","16,1","16,1","230194","41042"
"2016","105,0","5,0","5,0","214793","20,5","20,5","243837","52374"
"2017","113,0","7,6","7,6","241860","12,6","12,6","263295","63680"
"2018","123,2","9,0","9,0","218491","-9,7","-9,7","287267","62765"
"2019","131,7","6,9","6,9","218595","0,0","0,0","307978","67322"
"2020","141,9","7,8","7,8","235511","7,7","7,7","334488","78776"
"2021 januari","149,7","2,5","9,3","24516","-6,5","39,9","357458","8763"
"2021 februari","151,4","1,2","10,4","16871","-31,2","9,4","369070","6227"
"2021 maart","153,9","1,6","11,3","25240","49,6","35,5","407014","10273"
"2021 april","155,3","0,9","11,5","18954","-24,9","0,5","362525","6871"
"2021 mei","158,4","2,0","12,9","16126","-14,9","-12,1","361001","5822"
"2021 juni","161,4","1,9","14,6","17707","9,8","-0,1","373384","6612"
"2021 juli","165,3","2,4","16,3","19043","7,5","-15,6","395786","7537"
"2021 augustus","168,9","2,1","17,8","17257","-9,4","-9,3","402308","6943"
"2021 september","171,5","1,6","18,5","17575","1,8","-14,7","405165","7121"
"2021 oktober","173,2","1,0","18,3","16191","-7,9","-26,9","408987","6622"
"2021 november","176,3","1,8","20,1","16048","-0,9","-13,0","403941","6482"
"2021 december","175,8","-0,3","20,4","20559","28,1","-21,6","396848","8159"
"2021 ","163,4","15,2","15,2","226087","-4,0","-4,0","386714","87431"
"2022 januari","181,3","3,1","21,1","14053","-31,6","-42,7","434886","6111"
"2022 februari","182,1","0,4","20,2","14037","-0,1","-16,8","419361","5887"
"2022 maart","183,9","1,0","19,5","15833","12,8","-37,3","426183","6748"
